,start_date,login_time,logout_time,online_time,offline_time,break_time
0,2020/09/18,18:05  PM,06:05  AM,00:00 Hour,00:00 Hour,00:00 Hour
1,2020/09/19,,,00:00 Hour,00:00 Hour,00:00 Hour
2,2020/09/20,,,00:00 Hour,00:00 Hour,00:00 Hour
3,2020/09/21,,,00:00 Hour,00:00 Hour,00:00 Hour
4,2020/09/22,16:28  PM,,00:00 Hour,00:00 Hour,00:00 Hour
5,2020/09/23,,,00:00 Hour,00:00 Hour,00:00 Hour
6,2020/09/25,09:30  AM,,00:00 Hour,00:00 Hour,00:00 Hour
7,2020/09/29,12:55  PM,,00:00 Hour,00:00 Hour,00:00 Hour
8,2020/10/05,12:04  PM,,00:00 Hour,00:00 Hour,00:00 Hour
9,2020/10/07,17:52  PM,,00:00 Hour,00:01 Hour,00:00 Hour
10,2020/10/08,,,00:00 Hour,00:00 Hour,00:00 Hour
