Date,In Time,Out Time,Online Time,Offline Time,Break Time
03/12/2020,18:54  PM,,00:00 Hour,00:12 Hour,00:00 Hour
04/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
05/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
06/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
07/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
08/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
09/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
10/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
11/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
12/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
13/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
14/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
15/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
16/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
17/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
18/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
19/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
20/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
21/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
22/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
23/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
24/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
25/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
26/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
27/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
28/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
29/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
30/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
31/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
01/01/2021,,,00:00 Hour,00:00 Hour,00:00 Hour
02/01/2021,,,00:00 Hour,00:00 Hour,00:00 Hour
03/01/2021,,,00:00 Hour,00:00 Hour,00:00 Hour
04/01/2021,,,00:00 Hour,00:00 Hour,00:00 Hour
19/01/2021,,,00:00 Hour,00:00 Hour,00:00 Hour
20/01/2021,,,00:00 Hour,00:00 Hour,00:00 Hour
21/01/2021,,,00:00 Hour,00:00 Hour,00:00 Hour
22/01/2021,,,00:00 Hour,00:00 Hour,00:00 Hour
23/01/2021,,,00:00 Hour,00:00 Hour,00:00 Hour
25/01/2021,,,00:00 Hour,00:00 Hour,00:00 Hour
26/01/2021,,,00:00 Hour,00:00 Hour,00:00 Hour
27/01/2021,,,00:00 Hour,00:00 Hour,00:00 Hour
28/01/2021,,,00:00 Hour,00:00 Hour,00:00 Hour
29/01/2021,,,00:00 Hour,00:00 Hour,00:00 Hour
30/01/2021,,,00:00 Hour,00:00 Hour,00:00 Hour
